Header	Japanese	Google Translate	Translated	Notes
9810208	これを見ろ	look at this	Hm、look at this	
1030104	『!いなぶあ !んけき』って書いてある	It says ``!Inabua !Nkeki''	"It says⏎
『!Eraweb !Regnad』"	The text on the sign is written backwards. It says “Beware! Danger!” or something similar. I guess this is a puzzle?
9810208	この先はおそらく⏎ウェン・デルの細道だ⏸ちんもくの森への⏎近道だが……	The path ahead is probably ⏎Wen Dell's narrow path⏎⏎shortcut to Chinmoku Forest...	"This must be the⏎
Wenn Del path⏸
This is the shortest⏎
way to the Forests"	
1030104	よーし、行こう	"Okay, let's go"	Okay、let’s go	
9810208	待て。⏎旅は始まったばかりだ⏸ほんの少しの近道のために⏎おまえを きけんに……	Wait. ⏎The journey has just begun ⏸For just a shortcut ⏎I'll take you...	"Hold on。⏎
It’s dangerous⏸
I shouldn’t lead you⏎
into danger so soon"	
2030104	(子どもあつかいしないで⏎ほしいんだよな……)	(I want you not to deal with children...)	"(Hey、I’m not just⏎
some wimpy kid!)"	
9810208	ふまんそうだな	It seems normal	What do you think?	
2030104	この道を行こう	let's go this way	"A shortcut is too⏎
precious to waste⏸
We are prepared for⏎
trouble。Let’s go!"	
9810208	ふん。こうかいしても知らないぞ	"Hmm. Even if I say this, I don't know."	"Very well、as you⏎
wish"	
9810208	……おっと、その前に⏎たたかい方を教えよう⏸剣は持っているか?⏸そう、そのタッチペンが剣だ。⏎だいじな剣だから なくすんじゃないぞ⏸はじき出すように タッチペンをすばやく⏎『スライド』してはなすとダッシュこうげき⏸ダッシュこうげきはダメージは小さいが⏎てきを大きくはじきとばせる⏸それからもう1つ⏸同じばしょで ずっとタッチしていると⏎力をタメることができる⏸タメている時にダッシュこうげきをすると⏎あたえるダメージが大きくなるぞ⏸さいごに たたかいのきほんを教える⏸てきに近づいて『タッチ』すれば⏎剣でこうげきをおこなう⏸それから、てきにあたえるダメージには⏎バラつきがある⏸それは、オレたちのバイオリズムに⏎ふかく かんけいしているからだ	"...Oh, before that, ⏎Let me teach you how to fight. ⏸ Do you have a sword? ⏸ Yes, that touch pen is a sword. ⏎It's an important sword, so don't lose it. ⏸ Move the stylus quickly as if you were flicking it out. ⏎ Slide it and release it to perform a dash attack. ⏸ The dash attack does less damage, but ⏎ It can flick away a large amount of damage. And then there's one more thing. ⏸ Same. If you touch it for a long time, you can charge it with power.If you do a dash attack while charging, the damage you deal will increase.Finally, you will be taught the basics of fighting. If you touch it, it will attack you with your sword.Then, there will be variations in the damage it inflicts.This is because it is in full harmony with our biorhythms."	"Oh、but first!⏸
Let me teach you how⏎
to fight!⏸
Do you have a sword?⏸
Yes、the stylus will⏎
do - don’t lose it!⏸
Flick the stylus to⏎
do a dash attack⏸
It does less damage⏎
than normal、but can⏸
knock the enemy back⏸
If you hold the⏎
stylus in one place⏸
for a bit、you can⏎
charge up power⏸
Charge up then dash⏎
to do more damage⏸
And of course、you⏎
can do basic attacks⏸
by simply tapping on⏎
your target⏸
The damage from each⏎
hit varies over time⏸
This is due to your⏎
biorhythms!"	"Good lord, that’s a lot of text"
